split,rows,loss_l1_mae_ms,mae_ms,rmse_ms,median_ae_ms,within_5ms_pct,within_10ms_pct,within_20ms_pct,within_50ms_pct,classification_threshold_ms,accuracy,precision,recall,f1_score,false_positive,false_negative,true_positive,true_negative,auc_roc
train_all,800000,83.70534625,83.70534625,198.38241147780718,20.0,2.898125,9.917875,65.239125,83.056,372.0,0.87760375,0.8061736326585208,0.9943033829756388,0.8904097783617595,95638,2279,397783,304300,0.844473462657225
train_brunswick,632054,84.40246877640202,84.40246877640202,205.39323073903856,20.0,2.569558930091416,8.688181705993475,66.31253025849058,84.16448594582108,372.0,0.880972195413683,0.8035466202513454,0.9953286740950749,0.8892144937694932,73815,1417,301923,254899,0.8520199533495436
train_halfmile,167946,81.0817703309397,81.0817703309397,169.41680634871324,20.0,4.134662331940028,14.545746847200885,61.19943315113191,78.88428423421814,372.0,0.8649268217165041,0.8145611515681959,0.9910878600525217,0.8941955644691122,21823,862,95860,49401,0.8105226728254623
