split,rows,loss_l1_mae_ms,mae_ms,rmse_ms,median_ae_ms,within_5ms_pct,within_10ms_pct,within_20ms_pct,within_50ms_pct,classification_threshold_ms,accuracy,precision,recall,f1_score,false_positive,false_negative,true_positive,true_negative,auc_roc
train_all,800000,72.23719375,72.23719375,179.85745576358516,18.0,2.707875,9.732000000000001,71.014,85.47550000000001,340.0,0.883255,0.8126988399980422,0.9961155438238647,0.8951078167115902,91842,1554,398502,308102,0.8604458848647393
train_brunswick,508385,84.74398733243507,84.74398733243507,205.82098836835954,20.0,2.5714763417488715,8.68121600755333,66.25903596683615,84.10004229078356,340.0,0.8715579727962076,0.7671546716371994,0.9954725842432781,0.8665263071828626,64334,964,211961,231126,0.85864110925878
train_halfmile,135361,81.81315149858527,81.81315149858527,171.04514359159143,20.0,4.052127274473445,14.324657767008222,60.764178751634525,78.82846610175753,340.0,0.849040713351704,0.7703338768807318,0.9914415420108655,0.8670128991109897,19859,575,66610,48317,0.8156812293672155
train_lalor,156254,23.249792005324665,23.249792005324665,49.47243317490972,16.0,1.987149128982298,9.172245190523123,95.36395868265772,95.70890985190779,340.0,0.9509516556376156,0.9400454616711084,0.9998749437246761,0.969037596050516,7649,15,119931,28659,0.9581000105669819
