asset,target_label_column,is_recommended_target,trace_count,mae_ms,rmse_ms,median_absolute_error_ms,pct_within_5ms,pct_within_10ms,pct_within_20ms,pct_within_50ms
brunswick,FIRST_BREAK_TIME,False,3733221,0.0,0.0,0.0,100.0,100.0,100.0,100.0
brunswick,SPARE1,True,3733221,429.27222819115184,486.8002468975787,384.0,2.678652027297607e-05,0.0001875056419108,0.0218845870630214,0.5764459162744451
halfmile,FIRST_BREAK_TIME,False,993189,0.0,0.0,0.0,100.0,100.0,100.0,100.0
halfmile,SPARE1,True,993189,353.13856979890033,385.6247549745512,344.0,0.0,0.0,0.0047322312268863,0.3771688973599184
lalor,FIRST_BREAK_TIME,False,1211857,0.0,0.0,0.0,100.0,100.0,100.0,100.0
lalor,SPARE1,True,1211857,249.21832113855015,272.1305927224437,248.0,0.0003300719474327,0.0244253241100228,0.2312979171634937,2.1291290969149
sudbury,FIRST_BREAK_TIME,False,200338,0.0,0.0,0.0,100.0,100.0,100.0,100.0
sudbury,SPARE1,True,200338,169.7062863760245,184.08899787075373,162.0,0.0,0.0009983128512813,0.0274536034102367,2.002615579670357
