asset,recommended_label_column,labeled_trace_count,identical_count,nonzero_difference_count,baseline_mae_recommended_ms,baseline_rmse_recommended_ms,offset_pct_abs_diff_gt_1m_best_match
brunswick,SPARE1,3733221,0,3733221,429.27222819115184,486.8002468975787,84.36582349984654
halfmile,SPARE1,993189,0,993189,353.13856979890033,385.62475497455114,2.959095419163501
lalor,SPARE1,1211857,0,1211857,249.21832113855018,272.1305927224437,0.0
sudbury,SPARE1,200338,0,200338,169.7062863760245,184.08899787075373,5.3574703627183435
